Sector,Ticker,Outperformance_Count,N_Observations,Outperformance_Rate,P_Value,Significant
Aerospace & Defense,AXON,17,22,0.7727272727272727,0.00845026969909668,True
Aerospace & Defense,BA,6,22,0.2727272727272727,0.9915497303009033,False
Aerospace & Defense,GD,6,22,0.2727272727272727,0.9915497303009033,False
Aerospace & Defense,GE,15,22,0.6818181818181818,0.06690025329589844,False
Aerospace & Defense,HII,5,22,0.22727272727272727,0.9978282451629639,False
Aerospace & Defense,HWM,19,22,0.8636363636363636,0.0004277229309082031,True
Aerospace & Defense,LHX,4,22,0.18181818181818182,0.9995722770690918,False
Aerospace & Defense,LMT,5,22,0.22727272727272727,0.9978282451629639,False
Aerospace & Defense,NOC,6,22,0.2727272727272727,0.9915497303009033,False
Aerospace & Defense,RTX,11,22,0.5,0.5840940475463867,False
Aerospace & Defense,TDG,11,22,0.5,0.5840940475463867,False
Aerospace & Defense,TXT,9,22,0.4090909090909091,0.8568606376647949,False
Air Freight & Logistics,CHRW,10,22,0.45454545454545453,0.7382664680480957,False
Air Freight & Logistics,EXPD,13,22,0.5909090909090909,0.2617335319519043,False
Air Freight & Logistics,FDX,11,22,0.5,0.5840940475463867,False
Air Freight & Logistics,UPS,10,22,0.45454545454545453,0.7382664680480957,False
"Apparel, Accessories & Luxury Goods",LULU,7,22,0.3181818181818182,0.9737606048583984,False
"Apparel, Accessories & Luxury Goods",NKE,3,22,0.13636363636363635,0.9999394416809082,False
"Apparel, Accessories & Luxury Goods",RL,16,22,0.7272727272727273,0.026239395141601562,True
"Apparel, Accessories & Luxury Goods",TPR,15,22,0.6818181818181818,0.06690025329589844,False
Application Software,ADBE,3,22,0.13636363636363635,0.9999394416809082,False
Application Software,ADSK,8,22,0.36363636363636365,0.9330997467041016,False
Application Software,CDNS,17,22,0.7727272727272727,0.00845026969909668,True
Application Software,CRM,4,22,0.18181818181818182,0.9995722770690918,False
Application Software,FICO,13,22,0.5909090909090909,0.2617335319519043,False
Application Software,INTU,11,22,0.5,0.5840940475463867,False
Application Software,ORCL,15,22,0.6818181818181818,0.06690025329589844,False
Application Software,PTC,10,22,0.45454545454545453,0.7382664680480957,False
Application Software,SNPS,16,22,0.7272727272727273,0.026239395141601562,True
Application Software,TYL,7,22,0.3181818181818182,0.9737606048583984,False
Application Software,WDAY,3,22,0.13636363636363635,0.9999394416809082,False
Asset Management & Custody Banks,AMP,19,22,0.8636363636363636,0.0004277229309082031,True
Asset Management & Custody Banks,APO,15,22,0.6818181818181818,0.06690025329589844,False
Asset Management & Custody Banks,BEN,5,22,0.22727272727272727,0.9978282451629639,False
Asset Management & Custody Banks,BK,11,22,0.5,0.5840940475463867,False
Asset Management & Custody Banks,BLK,8,22,0.36363636363636365,0.9330997467041016,False
Asset Management & Custody Banks,BX,14,22,0.6363636363636364,0.14313936233520508,False
Asset Management & Custody Banks,IVZ,6,22,0.2727272727272727,0.9915497303009033,False
Asset Management & Custody Banks,KKR,18,22,0.8181818181818182,0.002171754837036133,True
Asset Management & Custody Banks,NTRS,6,22,0.2727272727272727,0.9915497303009033,False
Asset Management & Custody Banks,STT,9,22,0.4090909090909091,0.8568606376647949,False
Asset Management & Custody Banks,TROW,2,22,0.09090909090909091,0.9999945163726807,False
Automobile Manufacturers,F,9,22,0.4090909090909091,0.8568606376647949,False
Automobile Manufacturers,GM,8,22,0.36363636363636365,0.9330997467041016,False
Automobile Manufacturers,TSLA,12,22,0.5454545454545454,0.4159059524536133,False
Automotive Retail,AZO,15,22,0.6818181818181818,0.06690025329589844,False
Automotive Retail,KMX,6,22,0.2727272727272727,0.9915497303009033,False
Automotive Retail,ORLY,16,22,0.7272727272727273,0.026239395141601562,True
Biotechnology,ABBV,14,22,0.6363636363636364,0.14313936233520508,False
Biotechnology,AMGN,12,22,0.5454545454545454,0.4159059524536133,False
Biotechnology,BIIB,3,22,0.13636363636363635,0.9999394416809082,False
Biotechnology,GILD,10,22,0.45454545454545453,0.7382664680480957,False
Biotechnology,INCY,6,22,0.2727272727272727,0.9915497303009033,False
Biotechnology,MRNA,7,22,0.3181818181818182,0.9737606048583984,False
Biotechnology,REGN,13,22,0.5909090909090909,0.2617335319519043,False
Biotechnology,VRTX,14,22,0.6363636363636364,0.14313936233520508,False
Broadcasting,FOX,16,22,0.7272727272727273,0.026239395141601562,True
Broadcasting,FOXA,17,22,0.7727272727272727,0.00845026969909668,True
Broadcasting,WBD,6,22,0.2727272727272727,0.9915497303009033,False
Building Products,ALLE,4,22,0.18181818181818182,0.9995722770690918,False
Building Products,AOS,2,22,0.09090909090909091,0.9999945163726807,False
Building Products,BLDR,16,22,0.7272727272727273,0.026239395141601562,True
Building Products,CARR,10,20,0.5,0.5880985260009766,False
Building Products,JCI,11,22,0.5,0.5840940475463867,False
Building Products,LII,8,22,0.36363636363636365,0.9330997467041016,False
Building Products,MAS,5,22,0.22727272727272727,0.9978282451629639,False
Building Products,TT,15,22,0.6818181818181818,0.06690025329589844,False
Casinos & Gaming,CZR,8,22,0.36363636363636365,0.9330997467041016,False
Casinos & Gaming,LVS,11,22,0.5,0.5840940475463867,False
Casinos & Gaming,MGM,11,22,0.5,0.5840940475463867,False
Casinos & Gaming,WYNN,11,22,0.5,0.5840940475463867,False
Communications Equipment,ANET,19,22,0.8636363636363636,0.0004277229309082031,True
Communications Equipment,CSCO,4,22,0.18181818181818182,0.9995722770690918,False
Communications Equipment,FFIV,7,22,0.3181818181818182,0.9737606048583984,False
Communications Equipment,MSI,9,22,0.4090909090909091,0.8568606376647949,False
Construction Machinery & Heavy Transportation Equipment,CAT,15,22,0.6818181818181818,0.06690025329589844,False
Construction Machinery & Heavy Transportation Equipment,CMI,9,22,0.4090909090909091,0.8568606376647949,False
Construction Machinery & Heavy Transportation Equipment,PCAR,9,22,0.4090909090909091,0.8568606376647949,False
Construction Machinery & Heavy Transportation Equipment,WAB,11,22,0.5,0.5840940475463867,False
Consumer Finance,AXP,12,22,0.5454545454545454,0.4159059524536133,False
Consumer Finance,COF,9,22,0.4090909090909091,0.8568606376647949,False
Consumer Finance,SYF,10,22,0.45454545454545453,0.7382664680480957,False
Consumer Staples Merchandise Retail,COST,16,22,0.7272727272727273,0.026239395141601562,True
Consumer Staples Merchandise Retail,DG,8,22,0.36363636363636365,0.9330997467041016,False
Consumer Staples Merchandise Retail,DLTR,9,22,0.4090909090909091,0.8568606376647949,False
Consumer Staples Merchandise Retail,TGT,8,22,0.36363636363636365,0.9330997467041016,False
Consumer Staples Merchandise Retail,WMT,12,22,0.5454545454545454,0.4159059524536133,False
Distributors,GPC,10,22,0.45454545454545453,0.7382664680480957,False
Distributors,LKQ,10,22,0.45454545454545453,0.7382664680480957,False
Distributors,POOL,12,22,0.5454545454545454,0.4159059524536133,False
Diversified Banks,BAC,9,22,0.4090909090909091,0.8568606376647949,False
Diversified Banks,C,13,22,0.5909090909090909,0.2617335319519043,False
Diversified Banks,JPM,15,22,0.6818181818181818,0.06690025329589844,False
Diversified Banks,PNC,11,22,0.5,0.5840940475463867,False
Diversified Banks,TFC,6,22,0.2727272727272727,0.9915497303009033,False
Diversified Banks,USB,1,22,0.045454545454545456,0.9999997615814209,False
Diversified Banks,WFC,18,22,0.8181818181818182,0.002171754837036133,True
Diversified Support Services,CPRT,11,22,0.5,0.5840940475463867,False
Diversified Support Services,CTAS,17,22,0.7727272727272727,0.00845026969909668,True
Diversified Support Services,LDOS,8,22,0.36363636363636365,0.9330997467041016,False
Electric Utilities,AEP,6,22,0.2727272727272727,0.9915497303009033,False
Electric Utilities,CEG,11,12,0.9166666666666666,0.003173828125,True
Electric Utilities,DUK,7,22,0.3181818181818182,0.9737606048583984,False
Electric Utilities,EIX,7,22,0.3181818181818182,0.9737606048583984,False
Electric Utilities,ES,3,22,0.13636363636363635,0.9999394416809082,False
Electric Utilities,EVRG,6,22,0.2727272727272727,0.9915497303009033,False
Electric Utilities,EXC,11,22,0.5,0.5840940475463867,False
Electric Utilities,FE,6,22,0.2727272727272727,0.9915497303009033,False
Electric Utilities,LNT,7,22,0.3181818181818182,0.9737606048583984,False
Electric Utilities,PEG,10,22,0.45454545454545453,0.7382664680480957,False
Electric Utilities,PPL,5,22,0.22727272727272727,0.9978282451629639,False
Electric Utilities,SO,10,22,0.45454545454545453,0.7382664680480957,False
Electric Utilities,VST,17,22,0.7727272727272727,0.00845026969909668,True
Electric Utilities,WEC,6,22,0.2727272727272727,0.9915497303009033,False
Electrical Components & Equipment,AME,9,22,0.4090909090909091,0.8568606376647949,False
Electrical Components & Equipment,EMR,10,22,0.45454545454545453,0.7382664680480957,False
Electrical Components & Equipment,ETN,13,22,0.5909090909090909,0.2617335319519043,False
Electrical Components & Equipment,GNRC,10,22,0.45454545454545453,0.7382664680480957,False
Electrical Components & Equipment,ROK,8,22,0.36363636363636365,0.9330997467041016,False
Electronic Equipment & Instruments,KEYS,11,22,0.5,0.5840940475463867,False
Electronic Equipment & Instruments,ROP,11,22,0.5,0.5840940475463867,False
Electronic Equipment & Instruments,TDY,12,22,0.5454545454545454,0.4159059524536133,False
Electronic Equipment & Instruments,TRMB,11,22,0.5,0.5840940475463867,False
Electronic Equipment & Instruments,ZBRA,9,22,0.4090909090909091,0.8568606376647949,False
Environmental & Facilities Services,ROL,11,22,0.5,0.5840940475463867,False
Environmental & Facilities Services,RSG,15,22,0.6818181818181818,0.06690025329589844,False
Environmental & Facilities Services,VLTO,1,5,0.2,0.96875,False
Environmental & Facilities Services,WM,7,22,0.3181818181818182,0.9737606048583984,False
Fertilizers & Agricultural Chemicals,CF,17,22,0.7727272727272727,0.00845026969909668,True
Fertilizers & Agricultural Chemicals,CTVA,16,22,0.7272727272727273,0.026239395141601562,True
Fertilizers & Agricultural Chemicals,FMC,5,22,0.22727272727272727,0.9978282451629639,False
Fertilizers & Agricultural Chemicals,MOS,10,22,0.45454545454545453,0.7382664680480957,False
Financial Exchanges & Data,CBOE,18,22,0.8181818181818182,0.002171754837036133,True
Financial Exchanges & Data,CME,10,22,0.45454545454545453,0.7382664680480957,False
Financial Exchanges & Data,FDS,7,22,0.3181818181818182,0.9737606048583984,False
Financial Exchanges & Data,ICE,15,22,0.6818181818181818,0.06690025329589844,False
Financial Exchanges & Data,MCO,14,22,0.6363636363636364,0.14313936233520508,False
Financial Exchanges & Data,MKTX,4,22,0.18181818181818182,0.9995722770690918,False
Financial Exchanges & Data,MSCI,10,22,0.45454545454545453,0.7382664680480957,False
Financial Exchanges & Data,NDAQ,17,22,0.7727272727272727,0.00845026969909668,True
Financial Exchanges & Data,SPGI,13,22,0.5909090909090909,0.2617335319519043,False
Health Care Distributors,CAH,13,22,0.5909090909090909,0.2617335319519043,False
Health Care Distributors,COR,14,22,0.6363636363636364,0.14313936233520508,False
Health Care Distributors,HSIC,3,22,0.13636363636363635,0.9999394416809082,False
Health Care Distributors,MCK,18,22,0.8181818181818182,0.002171754837036133,True
Health Care Equipment,ABT,13,22,0.5909090909090909,0.2617335319519043,False
Health Care Equipment,BAX,0,22,0.0,1.0,False
Health Care Equipment,BDX,5,22,0.22727272727272727,0.9978282451629639,False
Health Care Equipment,BSX,17,22,0.7727272727272727,0.00845026969909668,True
Health Care Equipment,DXCM,12,22,0.5454545454545454,0.4159059524536133,False
Health Care Equipment,EW,9,22,0.4090909090909091,0.8568606376647949,False
Health Care Equipment,GEHC,5,9,0.5555555555555556,0.5,False
Health Care Equipment,HOLX,9,22,0.4090909090909091,0.8568606376647949,False
Health Care Equipment,IDXX,16,22,0.7272727272727273,0.026239395141601562,True
Health Care Equipment,ISRG,17,22,0.7727272727272727,0.00845026969909668,True
Health Care Equipment,MDT,7,22,0.3181818181818182,0.9737606048583984,False
Health Care Equipment,PODD,14,22,0.6363636363636364,0.14313936233520508,False
Health Care Equipment,RMD,14,22,0.6363636363636364,0.14313936233520508,False
Health Care Equipment,RVTY,9,22,0.4090909090909091,0.8568606376647949,False
Health Care Equipment,STE,13,22,0.5909090909090909,0.2617335319519043,False
Health Care Equipment,SYK,16,22,0.7272727272727273,0.026239395141601562,True
Health Care Equipment,TFX,1,22,0.045454545454545456,0.9999997615814209,False
Health Care Equipment,ZBH,7,22,0.3181818181818182,0.9737606048583984,False
Health Care REITs,DOC,3,22,0.13636363636363635,0.9999394416809082,False
Health Care REITs,VTR,13,22,0.5909090909090909,0.2617335319519043,False
Health Care REITs,WELL,18,22,0.8181818181818182,0.002171754837036133,True
Health Care Services,CI,8,22,0.36363636363636365,0.9330997467041016,False
Health Care Services,CVS,8,22,0.36363636363636365,0.9330997467041016,False
Health Care Services,DGX,10,22,0.45454545454545453,0.7382664680480957,False
Health Care Services,DVA,12,22,0.5454545454545454,0.4159059524536133,False
Health Care Services,LH,11,22,0.5,0.5840940475463867,False
Health Care Supplies,ALGN,8,22,0.36363636363636365,0.9330997467041016,False
Health Care Supplies,COO,11,22,0.5,0.5840940475463867,False
Health Care Supplies,WST,14,22,0.6363636363636364,0.14313936233520508,False
Homebuilding,DHI,13,22,0.5909090909090909,0.2617335319519043,False
Homebuilding,LEN,6,22,0.2727272727272727,0.9915497303009033,False
Homebuilding,NVR,7,22,0.3181818181818182,0.9737606048583984,False
Homebuilding,PHM,15,22,0.6818181818181818,0.06690025329589844,False
"Hotels, Resorts & Cruise Lines",ABNB,2,17,0.11764705882352941,0.9998626708984375,False
"Hotels, Resorts & Cruise Lines",BKNG,12,22,0.5454545454545454,0.4159059524536133,False
"Hotels, Resorts & Cruise Lines",CCL,10,22,0.45454545454545453,0.7382664680480957,False
"Hotels, Resorts & Cruise Lines",EXPE,12,22,0.5454545454545454,0.4159059524536133,False
"Hotels, Resorts & Cruise Lines",HLT,12,22,0.5454545454545454,0.4159059524536133,False
"Hotels, Resorts & Cruise Lines",MAR,10,22,0.45454545454545453,0.7382664680480957,False
"Hotels, Resorts & Cruise Lines",NCLH,5,22,0.22727272727272727,0.9978282451629639,False
"Hotels, Resorts & Cruise Lines",RCL,14,22,0.6363636363636364,0.14313936233520508,False
Household Products,CHD,16,22,0.7272727272727273,0.026239395141601562,True
Household Products,CL,15,22,0.6818181818181818,0.06690025329589844,False
Household Products,CLX,5,22,0.22727272727272727,0.9978282451629639,False
Household Products,KMB,9,22,0.4090909090909091,0.8568606376647949,False
Human Resource & Employment Services,ADP,15,22,0.6818181818181818,0.06690025329589844,False
Human Resource & Employment Services,DAY,9,22,0.4090909090909091,0.8568606376647949,False
Human Resource & Employment Services,PAYC,6,22,0.2727272727272727,0.9915497303009033,False
Human Resource & Employment Services,PAYX,13,22,0.5909090909090909,0.2617335319519043,False
IT Consulting & Other Services,ACN,8,22,0.36363636363636365,0.9330997467041016,False
IT Consulting & Other Services,CTSH,8,22,0.36363636363636365,0.9330997467041016,False
IT Consulting & Other Services,EPAM,7,22,0.3181818181818182,0.9737606048583984,False
IT Consulting & Other Services,IBM,13,22,0.5909090909090909,0.2617335319519043,False
IT Consulting & Other Services,IT,16,22,0.7272727272727273,0.026239395141601562,True
Industrial Machinery & Supplies & Components,DOV,9,22,0.4090909090909091,0.8568606376647949,False
Industrial Machinery & Supplies & Components,FTV,1,22,0.045454545454545456,0.9999997615814209,False
Industrial Machinery & Supplies & Components,GWW,17,22,0.7727272727272727,0.00845026969909668,True
Industrial Machinery & Supplies & Components,HUBB,17,22,0.7727272727272727,0.00845026969909668,True
