Sector,MktCap_Growth_Score,Revenue_Growth_Score,Weighted_Simple_Variance,Beta_Short,Beta_Long,N_Companies,Date_Start,Date_End,Cluster
Aerospace & Defense,-0.12878787878787878,-0.027777777777777776,21.669847912089516,0.0,1.0860575749836558,12,2019-09-30,2025-12-31,1
Air Freight & Logistics,-0.17045454545454544,0.0,1.5773523751799212,0.0,0.9304822942363383,4,2019-09-30,2025-12-31,0
"Apparel, Accessories & Luxury Goods",-0.11363636363636363,-0.16666666666666666,19.947150414032063,0.0,1.003377258182366,4,2019-09-30,2025-12-31,1
Application Software,-0.01652892561983471,-0.03333333333333333,7.0074489296233455,0.0,1.1982452379698483,11,2019-09-30,2025-12-31,0
Asset Management & Custody Banks,-0.045454545454545456,0.0,10.659839944108949,0.0,1.055084285964524,11,2019-09-30,2025-12-31,0
Automobile Manufacturers,-0.07575757575757576,-0.1111111111111111,19.737443596732117,0.0,1.5844048143744447,3,2019-09-30,2025-12-31,1
Automotive Retail,0.045454545454545456,0.3333333333333333,9.69179603864743,0.0,0.9556878383382879,3,2019-09-30,2025-12-31,0
Biotechnology,-0.10227272727272728,0.125,11.069763694333016,0.0,0.8877957883481866,8,2019-09-30,2025-12-31,0
Broadcasting,-0.06060606060606061,-0.1111111111111111,10.97743737631856,0.0,1.4555968102519803,3,2019-09-30,2025-12-31,1
Building Products,-0.10344827586206896,0.08333333333333333,12.650616684192125,0.0,0.9434608519108876,8,2019-09-30,2025-12-31,0
Casinos & Gaming,-0.1590909090909091,-0.16666666666666666,5.088906716834288,0.0,0.9796484316721953,4,2019-09-30,2025-12-31,1
Communications Equipment,-0.09090909090909091,-0.08333333333333333,19.19901696422974,0.0,0.8869900249580593,4,2019-09-30,2025-12-31,1
Construction Machinery & Heavy Transportation Equipment,-0.045454545454545456,0.0,2.6597727967838583,0.0,1.2185214859789775,4,2019-09-30,2025-12-31,0
Consumer Finance,-0.09090909090909091,0.0,2.319380855449671,0.0,0.9243469970548833,3,2019-09-30,2025-12-31,0
Consumer Staples Merchandise Retail,0.0,0.0,8.143637366119263,0.0,0.3733345323402391,5,2019-09-30,2025-12-31,0
Distributors,-0.12121212121212122,0.2222222222222222,2.0858919423570317,0.0,0.9959783274866797,3,2019-09-30,2025-12-31,0
Diversified Banks,-0.01948051948051948,0.0,6.15795739179833,0.0,0.9863994522892118,7,2019-09-30,2025-12-31,0
Diversified Support Services,-0.10606060606060606,0.0,4.17689254023689,0.0,1.029749990259623,3,2019-09-30,2025-12-31,0
Electric Utilities,-0.1040268456375839,0.0,14.74871349772555,0.0,1.0588085861116927,14,2019-09-30,2025-12-31,1
Electrical Components & Equipment,-0.06363636363636363,0.06666666666666667,2.616371579828501,0.0,1.0186497693483452,5,2019-09-30,2025-12-31,0
Electronic Equipment & Instruments,-0.10909090909090909,0.2,2.1414744642025285,0.0,0.8550888490159642,5,2019-09-30,2025-12-31,0
Environmental & Facilities Services,-0.09859154929577464,0.08333333333333333,2.1125728099682397,0.0,1.0542645797283554,4,2019-09-30,2025-12-31,0
Fertilizers & Agricultural Chemicals,-0.125,-0.08333333333333333,8.635167007375166,0.0,0.8246086941679082,4,2019-09-30,2025-12-31,0
Financial Exchanges & Data,-0.015151515151515152,0.037037037037037035,5.442595494691119,0.0,0.8993447060797423,9,2019-09-30,2025-12-31,0
Health Care Distributors,-0.03409090909090909,0.08333333333333333,7.45879034644654,0.0,0.9304671810728152,4,2019-09-30,2025-12-31,0
Health Care Equipment,-0.044386422976501305,0.05555555555555555,7.429920523439147,0.0,0.9562522833222439,18,2019-09-30,2025-12-31,0
Health Care REITs,-0.045454545454545456,-0.1111111111111111,10.155173437071488,0.0,0.9877052528821759,3,2019-09-30,2025-12-31,0
Health Care Services,0.0,0.06666666666666667,4.158174485620239,0.0,1.1460450427057638,5,2019-09-30,2025-12-31,0
Health Care Supplies,-0.10606060606060606,0.0,4.866248310394995,0.0,1.0062504734414204,3,2019-09-30,2025-12-31,0
Homebuilding,-0.06818181818181818,-0.08333333333333333,4.51680798448174,0.0,1.0307187888580929,4,2019-09-30,2025-12-31,0
"Hotels, Resorts & Cruise Lines",-0.04678362573099415,-0.16666666666666666,6.5814080115524405,0.0,0.827174123384599,8,2019-09-30,2025-12-31,0
Household Products,-0.011363636363636364,0.16666666666666666,3.8527146247737067,0.0,0.9611956188130292,4,2019-09-30,2025-12-31,0
Human Resource & Employment Services,-0.022727272727272728,-0.08333333333333333,7.981960149989661,0.0,0.6897409691718708,4,2019-09-30,2025-12-31,0
IT Consulting & Other Services,-0.1,-0.06666666666666667,8.92213997995298,0.0,0.8179794394767856,5,2019-09-30,2025-12-31,0
Industrial Machinery & Supplies & Components,-0.049019607843137254,0.0,8.172331111292056,0.0,1.0140760756970741,14,2019-09-30,2025-12-31,0
Insurance Brokers,-0.00909090909090909,0.13333333333333333,4.253395170956602,0.0,0.9316072827985166,5,2019-09-30,2025-12-31,0
Interactive Media & Services,-0.045454545454545456,0.0,10.468758399733632,0.0,1.0538200522805274,4,2019-09-30,2025-12-31,0
Internet Services & Infrastructure,-0.10714285714285714,-0.16666666666666666,16.83804982798176,0.0,1.6940425431602444,4,2019-09-30,2025-12-31,1
Investment Banking & Brokerage,-0.13636363636363635,0.08333333333333333,3.044700436851475,0.0,1.0012415668993315,4,2019-09-30,2025-12-31,0
Life & Health Insurance,-0.06363636363636363,0.0,1.4095494503142765,0.0,0.9992108015325764,5,2019-09-30,2025-12-31,0
Life Sciences Tools & Services,-0.06818181818181818,0.125,2.121635361155624,0.0,0.8592510175345149,8,2019-09-30,2025-12-31,0
Managed Health Care,0.00909090909090909,-0.06666666666666667,3.7028076696903387,0.0,0.8752885722071211,5,2019-09-30,2025-12-31,0
Movies & Entertainment,0.015151515151515152,-0.2222222222222222,10.23532205864221,0.0,1.1031836854785524,3,2019-09-30,2025-12-31,1
Multi-Family Residential REITs,-0.08333333333333333,0.0,2.4726643837320106,0.0,0.9886523798366503,6,2019-09-30,2025-12-31,0
Multi-Utilities,-0.015151515151515152,0.0,3.158734158027187,0.0,0.9998209117298248,12,2019-09-30,2025-12-31,0
Multi-line Insurance,-0.015151515151515152,0.1111111111111111,0.7479174480777079,0.0,1.1089329482536872,3,2019-09-30,2025-12-31,0
Oil & Gas Equipment & Services,-0.06060606060606061,-0.1111111111111111,6.423895016429406,0.0,0.9551674733020576,3,2019-09-30,2025-12-31,0
Oil & Gas Exploration & Production,-0.1111111111111111,0.0,8.329551021613542,0.0,1.0360228556858073,9,2019-09-30,2025-12-31,0
Oil & Gas Refining & Marketing,0.030303030303030304,0.1111111111111111,8.06242509806489,0.0,0.9907141297001715,3,2019-09-30,2025-12-31,0
Oil & Gas Storage & Transportation,-0.10227272727272728,-0.08333333333333333,23.083849779333853,0.0,0.9236514383899379,4,2019-09-30,2025-12-31,1
Packaged Foods & Meats,-0.012396694214876033,-0.18181818181818182,2.7471632873997667,0.0,1.0343084168958754,11,2019-09-30,2025-12-31,0
Paper & Plastic Packaging Products & Materials,-0.00909090909090909,-0.13333333333333333,2.980399972010396,0.0,0.9940893539536293,5,2019-09-30,2025-12-31,0
Passenger Airlines,-0.06060606060606061,-0.1111111111111111,6.10033640286944,0.0,1.0429464296931754,3,2019-09-30,2025-12-31,0
Personal Care Products,0.0,0.1111111111111111,10.430062869368813,0.0,0.6158982186130023,3,2019-09-30,2025-12-31,0
Pharmaceuticals,-0.09740259740259741,0.0,16.44465600050603,0.0,1.1690475972695027,7,2019-09-30,2025-12-31,1
Property & Casualty Insurance,0.011363636363636364,-0.08333333333333333,3.0190739457748137,0.0,0.9945804926850764,8,2019-09-30,2025-12-31,0
Rail Transportation,-0.045454545454545456,0.0,1.5016587429220465,0.0,0.9377689186147973,3,2019-09-30,2025-12-31,0
Regional Banks,-0.14393939393939395,-0.1111111111111111,2.0201765931763362,0.0,0.9888288879894686,6,2019-09-30,2025-12-31,0
Restaurants,-0.09848484848484848,0.05555555555555555,4.329572465176116,0.0,0.9475193361407517,6,2019-09-30,2025-12-31,0
Retail REITs,-0.08181818181818182,-0.06666666666666667,4.371924160205137,0.0,0.9975175886029625,5,2019-09-30,2025-12-31,0
Semiconductor Materials & Equipment,-0.15454545454545454,0.13333333333333333,8.20864022157763,0.0,1.1547567051373433,5,2019-09-30,2025-12-31,0
Semiconductors,-0.1266233766233766,-0.14634146341463414,21.883891080906746,0.0,1.324784616216137,14,2019-09-30,2025-12-31,1
Soft Drinks & Non-alcoholic Beverages,-0.06818181818181818,-0.08333333333333333,2.8725893537073786,0.0,1.0186001277036691,4,2019-09-30,2025-12-31,0
Specialty Chemicals,-0.09090909090909091,0.037037037037037035,4.238071453517465,0.0,0.9221356531231303,9,2019-09-30,2025-12-31,0
Systems Software,-0.09848484848484848,0.058823529411764705,10.363104287460718,0.0,0.9495249257842138,6,2019-09-30,2025-12-31,0
"Technology Hardware, Storage & Peripherals",-0.13636363636363635,0.0,23.39525971849144,0.0,0.2863724331290128,8,2019-09-30,2025-12-31,1
Telecom Tower REITs,-0.09090909090909091,0.2222222222222222,2.587092540718087,0.0,1.021113662643069,3,2019-09-30,2025-12-31,0
Transaction & Payment Processing Services,-0.03896103896103896,0.09523809523809523,8.272173221387051,0.0,0.8672060841730153,7,2019-09-30,2025-12-31,0
